1,1_cheerios_14oz.obj
2,2_cheeze-it_388g.obj
3,3_domino_sugar_1lb.obj
4,4_jell-o_chocolate_flavor_pudding.obj
5,5_jell-o_strawberry_gelatin_dessert.obj
6,6_spam_12oz.obj
7,7_master_chef_ground_coffee_297g.obj
8,8_starkist_chunk_light_tuna.obj
9,9_pringles_original.obj
10,10_frenchs_classic_yellow_mustard_14oz.obj
11,11_campbells_condensed_tomato_soup.obj
12,12_melissa_doug_farm_fresh_fruit_banana.obj
13,13_melissa_doug_farm_fresh_fruit_strawberry.obj
14,14_melissa_doug_farm_fresh_fruit_apple.obj
15,15_melissa_doug_farm_fresh_fruit_lemon.obj
16,16_melissa_doug_farm_fresh_fruit_peach.obj
17,17_melissa_doug_farm_fresh_fruit_pear.obj
18,18_melissa_doug_farm_fresh_fruit_orange.obj
19,19_melissa_doug_farm_fresh_fruit_plum.obj
20,20_windex.obj
22,22_rubbermaid_ice_guard_pitcher_blue.obj
24,24_red_metal_plate_white_speckles.obj
25,25_red_metal_bowl_white_speckles.obj
26,26_stainless_steel_fork_red_handle.obj
27,27_stainless_steel_spoon_red_handle.obj
28,28_stainless_steel_knife_red_handle.obj
29,29_stainless_steel_spatula.obj
31,31_red_metal_cup_white_speckles.obj
32,32_wearever_cooking_pan_with_lid.obj
34,34_wescott_orange_grey_scissors.obj
35,35_sharpie_marker.obj
36,36_expo_black_dry_erase_marker_fine.obj
37,37_expo_black_dry_erase_marker.obj
38,38_moutain_security_steel_shackle_key.obj
39,39_moutain_security_steel_shackle.obj
40,40_stanley_13oz_hammer.obj
42,42_stanley_philips_screwdriver.obj
43,43_stanley_flathead_screwdriver.obj
46,46_block_of_wood_12in.obj
47,47_block_of_wood_6in.obj
49,49_small_black_spring_clamp.obj
50,50_medium_black_spring_clamp.obj
51,51_large_black_spring_clamp.obj
53,53_black_and_decker_lithium_drill_driver_unboxed.obj
54,54_blank_hard_plastic_card.obj
55,55_champion_sports_official_softball.obj
56,56_wilson_100_tennis_ball.obj
57,57_penn_raquet_ball.obj
58,58_wilson_golf_ball.obj
63,63_play_go_rainbow_stakin_cups_10_blue.obj
64,64_dark_red_foam_block_with_three_holes.obj
